Open_time,open,high,low,close,volume
2021-01-01,28923.63,41950.00,28130.00,33092.98,3440864.75
2021-02-01,33092.97,58352.80,32296.16,45135.66,2518242.15
2021-03-01,45134.11,61844.00,44950.53,58740.55,2098808.03
2021-04-01,58739.46,64854.00,46930.00,57694.27,1993468.94
2021-05-01,57697.25,59500.00,30000.00,37253.81,3536245.26
2021-06-01,37253.82,41330.00,28805.00,35045.00,2901775.31
2021-07-01,35045.00,42448.00,29278.00,41461.83,1778463.26
2021-08-01,41461.84,50500.00,37332.70,47100.89,1635402.87
2021-09-01,47100.89,52920.00,39600.00,43824.10,1527799.51
2021-10-01,43820.01,67000.00,43283.03,61299.80,1565556.29
2021-11-01,61299.81,69000.00,53256.64,56950.56,1291900.11
2021-12-01,56950.56,59053.55,42000.30,46216.93,1233745.52
2022-01-01,46216.93,47990.00,32917.17,38466.90,1279407.47
2022-02-01,38466.90,45821.00,34322.28,43160.00,1253514.22
2022-03-01,43160.00,48189.84,37155.00,45510.34,1501398.80
2022-04-01,45510.35,47444.11,37578.20,37630.80,1267655.68
2022-05-01,37630.80,40023.77,26700.00,31801.04,2387839.68
2022-06-01,31801.05,31982.97,17622.00,19942.21,2816058.47
2022-07-01,19942.21,24668.00,18781.00,23293.32,4983278.59
2022-08-01,23296.36,25211.32,19520.00,20050.02,5692462.42
2022-09-01,20048.44,22799.00,18125.98,19422.61,9838930.54
2022-10-01,19422.61,21085.00,18190.00,20490.74,7499121.82
2022-11-01,20490.74,21480.65,15476.00,17163.64,9127693.51
2022-12-01,17165.53,18387.95,16256.30,16542.40,5803833.88
2023-01-01,16541.77,23960.54,16499.01,23125.13,7977028.88
2023-02-01,23125.13,25250.00,21351.07,23141.57,8642691.27
2023-03-01,23141.57,29184.68,19549.09,28465.36,9516189.36
2023-04-01,28465.36,31000.00,26942.82,29233.21,1626745.56
2023-05-01,29233.20,29820.00,25811.46,27210.35,1302000.49
2023-06-01,27210.36,31431.94,24800.00,30472.00,1387207.48
2023-07-01,30471.99,31804.20,28861.90,29232.25,925773.82
2023-08-01,29232.26,30244.00,25166.00,25940.78,1025866.55
2023-09-01,25940.77,27483.57,24901.00,26962.56,809329.05
2023-10-01,26962.57,35280.00,26538.66,34639.77,1141403.68
2023-11-01,34639.78,38450.00,34097.39,37723.96,1055690.60
2023-12-01,37723.97,44700.00,37615.86,42283.58,1195409.98
2024-01-01,42283.58,48969.48,38555.00,42580.00,1403408.85
2024-02-01,42580.00,64000.00,41884.28,61130.98,1206112.70
2024-03-01,61130.99,73777.00,59005.00,71280.01,1706807.38
2024-04-01,71280.00,72797.99,59191.60,60672.00,1201500.96
2024-05-01,60672.01,71979.00,56552.82,67540.01,945031.04
2024-06-01,67540.01,71997.02,58402.00,62772.01,696818.19
2024-07-01,62772.01,70079.99,53485.93,64628.00,908004.33
2024-08-01,64628.01,65659.78,49000.00,58973.99,1010291.47
2024-09-01,58974.00,66498.00,52550.00,63327.59,734117.08
2024-10-01,63327.60,73620.12,58946.00,70292.01,756010.86
2024-11-01,70292.01,99588.01,66835.00,96407.99,1343559.24
2024-12-01,96407.99,108353.00,90500.00,93576.00,1019450.07
2025-01-01,93576.00,109588.00,89256.69,102429.56,864534.74
2025-02-01,102429.56,102783.71,78258.52,84349.94,810850.18
2025-03-01,84349.95,95000.00,76606.00,83085.79,599308.01
